PA,OAT,Weight,TQ,FF,IAS,TAS,TMP
0,15.06,9500,1490,375,226,225,0
2000,11.104,9500,1520,367,225,231,0
4000,7.148,9500,1520,355,222,235,0
6000,3.192,9500,1520,345,220,240,0
8000,-0.764,9500,1520,336,218,244,0
10000,-4.72,9500,1520,329,215,249,0
12000,-8.676,9500,1520,325,214,254,0
14000,-12.632,9500,1520,322,211,259,0
16000,-16.588,9500,1520,321,209,264,0
18000,-20.544,9500,1520,320,206,269,0
20000,-24.5,9500,1449,306,200,270,0
22000,-28.456,9500,1355,288,192,268,0
24000,-32.412,9500,1262,270,184,266,0
26000,-36.368,9500,1170,252,175,263,0
28000,-40.324,9500,1082,235,167,259,0
29000,-42.302,9500,1039,226,162,257,0
0,15.06,8500,1490,375,226,225,0
2000,11.104,8500,1520,367,226,232,0
4000,7.148,8500,1520,355,224,236,0
6000,3.192,8500,1520,345,221,241,0
8000,-0.764,8500,1520,336,219,246,0
10000,-4.72,8500,1520,329,217,250,0
12000,-8.676,8500,1520,325,215,256,0
14000,-12.632,8500,1520,322,212,261,0
16000,-16.588,8500,1520,321,210,266,0
18000,-20.544,8500,1520,320,207,271,0
20000,-24.5,8500,1449,306,201,272,0
22000,-28.456,8500,1355,288,194,271,0
24000,-32.412,8500,1262,270,186,269,0
26000,-36.368,8500,1170,252,178,267,0
28000,-40.324,8500,1082,235,170,264,0
29000,-42.302,8500,1039,226,166,262,0
0,15.06,7500,1490,375,226,225,0
2000,11.104,7500,1520,367,226,232,0
4000,7.148,7500,1520,355,225,237,0
6000,3.192,7500,1520,345,222,242,0
8000,-0.764,7500,1520,336,220,247,0
10000,-4.72,7500,1520,329,218,251,0
12000,-8.676,7500,1520,325,216,257,0
14000,-12.632,7500,1520,322,214,262,0
16000,-16.588,7500,1520,321,211,268,0
18000,-20.544,7500,1520,320,209,273,0
20000,-24.5,7500,1449,306,203,274,0
22000,-28.456,7500,1355,288,196,273,0
24000,-32.412,7500,1262,270,188,272,0
26000,-36.368,7500,1170,252,180,270,0
28000,-40.324,7500,1082,235,173,268,0
29000,-42.302,7500,1039,226,169,267,0
0,25.06,9500,1515,381,225,229,10
2000,21.104,9500,1520,370,223,233,10
4000,17.148,9500,1520,358,221,237,10
6000,13.192,9500,1520,347,219,243,10
8000,9.236,9500,1520,339,217,247,10
10000,5.28,9500,1520,332,214,252,10
12000,1.324,9500,1520,327,212,257,10
14000,-2.632,9500,1520,324,209,262,10
16000,-6.588,9500,1520,322,207,267,10
18000,-10.544,9500,1443,307,200,267,10
20000,-14.5,9500,1358,290,193,266,10
22000,-18.456,9500,1272,273,185,265,10
24000,-22.412,9500,1186,256,177,262,10
26000,-26.368,9500,1102,240,169,259,10
28000,-30.324,9500,1022,223,161,256,10
29000,-32.302,9500,983,215,156,253,10
0,25.06,8500,1515,381,226,229,10
2000,21.104,8500,1520,370,224,234,10
4000,17.148,8500,1520,358,222,239,10
6000,13.192,8500,1520,347,220,244,10
8000,9.236,8500,1520,339,218,249,10
10000,5.28,8500,1520,332,216,254,10
12000,1.324,8500,1520,327,213,258,10
14000,-2.632,8500,1520,324,211,264,10
16000,-6.588,8500,1520,322,208,269,10
18000,-10.544,8500,1443,307,202,269,10
20000,-14.5,8500,1358,290,195,269,10
22000,-18.456,8500,1272,273,187,268,10
24000,-22.412,8500,1186,256,180,266,10
26000,-26.368,8500,1102,240,172,264,10
28000,-30.324,8500,1022,223,164,261,10
29000,-32.302,8500,983,215,160,259,10
0,25.06,7500,1515,381,226,229,10
2000,21.104,7500,1520,370,225,235,10
4000,17.148,7500,1520,358,223,240,10
6000,13.192,7500,1520,347,221,245,10
8000,9.236,7500,1520,339,219,250,10
10000,5.28,7500,1520,332,217,255,10
12000,1.324,7500,1520,327,214,260,10
14000,-2.632,7500,1520,324,212,265,10
16000,-6.588,7500,1520,322,209,270,10
18000,-10.544,7500,1443,307,203,271,10
20000,-14.5,7500,1358,290,196,271,10
22000,-18.456,7500,1272,273,189,270,10
24000,-22.412,7500,1186,256,182,269,10
26000,-26.368,7500,1102,240,175,267,10
28000,-30.324,7500,1022,223,167,265,10
29000,-32.302,7500,983,215,163,264,10
